iter	Logloss
0	0.6931322843
1	0.6930530495
2	0.6930671786
3	0.6930473588
4	0.6930004927
5	0.6929793058
6	0.692947492
7	0.6929258434
8	0.692899818
9	0.692884628
10	0.6928771884
11	0.6928612704
12	0.6928419478
13	0.6928088423
14	0.6928001199
15	0.692774454
16	0.6927539595
17	0.6927428578
18	0.6927249867
19	0.6927051003
20	0.6926917347
21	0.6926712092
22	0.6926631081
23	0.692655815
24	0.6926481001
25	0.6926391824
26	0.692623948
27	0.6926121848
28	0.692596258
29	0.6925821067
30	0.6925736195
31	0.6925562589
32	0.6925384189
33	0.6925239613
34	0.6925109863
35	0.6924990012
36	0.6924888006
37	0.6924717063
38	0.6924604537
39	0.6924430842
40	0.6924225053
41	0.6924082741
42	0.6923924139
43	0.6923800781
44	0.6923656871
45	0.6923488503
46	0.6923402566
47	0.6923349387
48	0.692318821
49	0.6923124379
50	0.6922927113
51	0.6922776855
52	0.6922585227
53	0.6922405273
54	0.6922305353
55	0.6922104714
56	0.6921918546
57	0.6921805886
58	0.6921690785
59	0.6921563432
