iter	Passed	Remaining
0	77	4543
1	90	2622
2	103	1961
3	116	1634
4	128	1416
5	140	1263
6	153	1160
7	166	1079
8	178	1012
9	191	958
10	202	903
11	214	857
12	227	821
13	239	786
14	251	753
15	264	726
16	276	698
17	288	672
18	300	647
19	312	624
20	324	602
21	336	581
22	347	559
23	359	539
24	371	520
25	383	501
26	395	483
27	407	465
28	420	449
29	431	431
30	444	415
31	456	399
32	469	383
33	480	367
34	492	352
35	504	336
36	518	322
37	530	306
38	544	293
39	558	279
40	570	264
41	582	249
42	595	235
43	607	221
44	620	206
45	632	192
46	644	178
47	656	164
48	669	150
49	680	136
50	692	122
51	705	108
52	717	94
53	730	81
54	742	67
55	754	53
56	767	40
57	779	26
58	792	13
59	805	0
